,CashEth,CashDDG,CashCorn
Jan-10, $1.82 , $102 , $3.60 
Feb-10, $1.69 , $103 , $3.45 
Mar-10, $1.52 , $94 , $3.48 
Apr-10, $1.44 , $103 , $3.37 
May-10, $1.51 , $114 , $3.46 
Jun-10, $1.52 , $102 , $3.24 
Jul-10, $1.51 , $102 , $3.41 
Aug-10, $1.69 , $106 , $3.62 
Sep-10, $2.01 , $123 , $4.32 
Oct-10, $2.11 , $142 , $4.95 
Nov-10, $2.33 , $152 , $5.24 
Dec-10, $2.10 , $161 , $5.60 
Jan-11, $2.27 , $179 , $6.04 
Feb-11, $2.29 , $191 , $6.58 
Mar-11, $2.43 , $195 , $6.54 
Apr-11, $2.57 , $209 , $7.21 
May-11, $2.55 , $197 , $6.98 
Jun-11, $2.60 , $194 , $7.11 
Jul-11, $2.72 , $191 , $6.80 
Aug-11, $2.83 , $192 , $7.14 
Sep-11, $2.75 , $198 , $6.80 
Oct-11, $2.60 , $198 , $6.15 
Nov-11, $2.82 , $215 , $6.14 
Dec-11, $2.31 , $190 , $5.89 
Jan-12, $2.13 , $187 , $6.19 
Feb-12, $2.09 , $195 , $6.30 
Mar-12, $2.18 , $203 , $6.40 
Apr-12, $2.15 , $208 , $6.28 
May-12, $2.11 , $216 , $6.28 
Jun-12, $2.00 , $216 , $6.26 
Jul-12, $2.39 , $266 , $7.61 
Aug-12, $2.53 , $299 , $8.15 
Sep-12, $2.40 , $280 , $7.63 
Oct-12, $2.30 , $271 , $7.51 
Nov-12, $2.30 , $261 , $7.50 
Dec-12, $2.25 , $255 , $7.36 
Jan-13, $2.20 , $258 , $7.27 
Feb-13, $2.33 , $266 , $7.26 
Mar-13, $2.52 , $263 , $7.44 
Apr-13, $2.48 , $240 , $6.74 
May-13, $2.55 , $223 , $7.03 
Jun-13, $2.57 , $230 , $7.17 
Jul-13, $2.43 , $233 , $6.71 
Aug-13, $2.29 , $225 , $6.07 
Sep-13, $2.36 , $219 , $5.15 
Oct-13, $2.05 , $202 , $4.43 
Nov-13, $1.96 , $206 , $4.34 
Dec-13, $2.30 , $212 , $4.35 
Jan-14, $2.07 , $168 , $4.27 
Feb-14, $1.94 , $202 , $4.44 
Mar-14, $2.48 , $236 , $4.67 
Apr-14, $2.79 , $233 , $4.86 
May-14, $2.24 , $214 , $4.78 
Jun-14, $2.22 , $167 , $4.45 
Jul-14, $2.10 , $130 , $3.80 
Aug-14, $2.10 , $108 , $3.54 
Sep-14, $1.84 , $122 , $3.34 
Oct-14, $1.56 , $103 , $3.26 
Nov-14, $2.00 , $108 , $3.51 
Dec-14, $2.02 , $138 , $3.77 
Jan-15, $1.38 , $173 , $3.73 
Feb-15, $1.31 , $171 , $3.74 
Mar-15, $1.39 , $175 , $3.77 
Apr-15, $1.48 , $181 , $3.68 
May-15, $1.57 , $169 , $3.55 
Jun-15, $1.44 , $148 , $3.50 
Jul-15, $1.49 , $142 , $3.81 
Aug-15, $1.42 , $145 , $3.51 
Sep-15, $1.41 , $130 , $3.52 
Oct-15, $1.47 , $111 , $3.57 
Nov-15, $1.43 , $116 , $3.49 
Dec-15, $1.35 , $120 , $3.53 
Jan-16, $1.23 , $122 , $3.45 
Feb-16, $1.30 , $123 , $3.48 
Mar-16, $1.27 , $124 , $3.44 
Apr-16, $1.42 , $116 , $3.48 
May-16, $1.47 , $132 , $3.61 
Jun-16, $1.56 , $161 , $3.78 
Jul-16, $1.48 , $140 , $3.17 
Aug-16, $1.33 , $118 , $3.02 
Sep-16, $1.43 , $112 , $3.00 
Oct-16, $1.52 , $103 , $3.15 
Nov-16, $1.55 , $102 , $3.15 
Dec-16, $1.65 , $99 , $3.25 
Jan-17, $1.40 , $97 , $3.38 
Feb-17, $1.38 , $97 , $3.41 
Mar-17, $1.38 , $96 , $3.34 
Apr-17, $1.54 , $93 , $3.36 
May-17, $1.45 , $93 , $3.40 
Jun-17, $1.51 , $99 , $3.37 
Jul-17, $1.47 , $104 , $3.40 
Aug-17, $1.49 , $109 , $3.20 
Sep-17, $1.51 , $104 , $3.18 
